mode	category	task_name	policy_name	score
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	takeru_50M	0.246398
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	yaofeng_100M	0.532951
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	yaofeng_200M	0.595691
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	yaofeng_25M	0.171169
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:1_num_agent:1)_reward_to:agent	yaofeng_50M	0.385145
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	baseline_10M	0.004000
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	takeru_100M	0.016501
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	takeru_200M	0.028403
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	takeru_25M	0.006422
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	takeru_50M	0.003997
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	yaofeng_100M	0.030291
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	yaofeng_200M	0.055294
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	yaofeng_25M	0.004778
pvp	item	curriculum/Task_EquipItem_(item:Arrow_level:3_num_agent:1)_reward_to:agent	yaofeng_50M	0.021117
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	baseline_10M	0.115606
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	learner	0.040952
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	takeru_100M	0.311341
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	takeru_200M	0.303891
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	takeru_25M	0.208315
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	takeru_50M	0.218308
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	yaofeng_100M	0.416771
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	yaofeng_200M	0.505653
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	yaofeng_25M	0.345324
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:1_num_agent:1)_reward_to:agent	yaofeng_50M	0.368488
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	baseline_10M	0.002083
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	learner	0.000000
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	takeru_100M	0.005846
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	takeru_200M	0.021971
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	takeru_25M	0.011612
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	takeru_50M	0.006604
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	yaofeng_100M	0.050809
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	yaofeng_200M	0.046995
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	yaofeng_25M	0.030589
pvp	item	curriculum/Task_EquipItem_(item:Axe_level:3_num_agent:1)_reward_to:agent	yaofeng_50M	0.019993
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	baseline_10M	0.198482
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	learner	0.096786
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	takeru_100M	0.406001
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	takeru_200M	0.441390
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	takeru_25M	0.329934
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	takeru_50M	0.328281
pvp	item	curriculum/Task_EquipItem_(item:Bottom_level:1_num_agent:1)_reward_to:agent	yaofeng_100M	0.591517
