category	task_name	weight	policy_name	mode	seed	count	score
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	19525770	52	0.375000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	28034063	49	0.442857
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	31128942	52	0.372115
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	42720373	47	0.377660
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	47914166	47	0.307447
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	97868113	40	0.430000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	99672462	51	0.353922
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_200M	pvp	99910280	48	0.476042
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	1	42	0.171429
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	12196392	40	0.267500
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	19525770	55	0.190000
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	28034063	47	0.251064
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	31128942	39	0.248718
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	42720373	48	0.263542
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	47914166	36	0.237500
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	97868113	54	0.246296
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	99672462	48	0.192708
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_25M	pvp	99910280	39	0.180769
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	1	46	0.292391
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	12196392	43	0.266279
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	19525770	45	0.247778
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	28034063	42	0.247619
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	31128942	39	0.303846
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	42720373	37	0.245946
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	47914166	43	0.230233
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	97868113	39	0.248718
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	99672462	35	0.285714
combat	curriculum/Task_CountEvent_(event:PLAYER_KILL_N:20)_reward_to:agent	5.555556	yaofeng_50M	pvp	99910280	47	0.314894
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	1	39	0.079487
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	12196392	46	0.072826
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	19525770	37	0.097297
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	28034063	51	0.083333
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	31128942	42	0.054762
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	42720373	45	0.070000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	47914166	38	0.072368
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	97868113	38	0.068421
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	99672462	50	0.071000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	baseline_10M	pvp	99910280	52	0.108654
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	1	9	0.022222
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	12196392	5	0.040000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	19525770	6	0.041667
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	28034063	7	0.007143
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	31128942	5	0.020000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	42720373	7	0.042857
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	47914166	7	0.021429
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	97868113	6	0.025000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	99672462	4	0.037500
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	learner	pvp	99910280	7	0.021429
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	1	37	0.163514
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	12196392	41	0.174390
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	19525770	43	0.165116
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	28034063	42	0.178571
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	31128942	37	0.225676
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	42720373	57	0.225439
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	47914166	29	0.234483
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	97868113	35	0.157143
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	99672462	45	0.182222
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_100M	pvp	99910280	35	0.172857
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	1	44	0.250000
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	12196392	52	0.210577
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	19525770	44	0.193182
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	28034063	59	0.222034
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	31128942	45	0.256667
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	42720373	49	0.257143
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	47914166	47	0.275532
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	97868113	48	0.213542
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	99672462	49	0.240816
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_200M	pvp	99910280	48	0.201042
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	1	61	0.116393
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	12196392	51	0.133333
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	19525770	44	0.170455
combat	curriculum/Task_DefeatEntity_(agent_type:npc_level:1_num_agent:20)_reward_to:agent	5.555556	takeru_25M	pvp	28034063	57	0.163158
